arm,h,obs_index,date,placebo_score_date,block,units,n_pairs_genuine_leg_only,n_pairs_placebo_leg_only,kept,n_pairs_shared,spread_gen,spread_pla,delta,n_flagged_unadjusted,ic_genuine,ic_placebo,cost_drag,delta_net
A,20,28,2022-01-20,2021-11-22,7,raw_excess,609,609,True,609,0.015836642899460265,0.0031000623957096385,0.012736580503750625,120,0.09061250143447934,0.1236665717430943,0.002166666666666666,0.01056991383708396
A,20,29,2022-01-27,2021-11-30,7,raw_excess,609,609,True,609,0.03320673865409916,0.03033473043452988,0.0028720082195692817,68,0.2097232729931102,0.20464319716759388,0.0026,0.0002720082195692818
A,20,30,2022-02-03,2021-12-07,7,raw_excess,609,609,True,609,0.024604302800540864,-0.0035694790758423007,0.028173781876383166,62,-0.07731222236598008,-0.03419665968199186,0.001833333333333333,0.026340448543049833
A,20,31,2022-02-10,2021-12-14,7,raw_excess,609,609,True,609,-0.005382302152076562,0.001664380773136554,-0.007046682925213116,54,-0.25993294951181145,-0.20767637720644172,0.001833333333333333,-0.008880016258546449
A,20,32,2022-02-17,2021-12-21,8,raw_excess,609,609,True,609,0.011056152560512605,0.022956799215157375,-0.01190064665464477,89,-0.01832191416925581,-0.026617667685324104,0.0020999999999999994,-0.01400064665464477
A,20,33,2022-02-25,2021-12-29,8,raw_excess,609,609,True,609,0.003951728065060362,0.03099416377457638,-0.02704243570951602,74,-0.12984035838607258,-0.07720500728928027,0.0026,-0.029642435709516017
A,20,34,2022-03-04,2022-01-05,8,raw_excess,609,609,True,609,0.05018285889066659,0.05141510776371358,-0.0012322488730469872,56,0.12369520984434318,0.13458428966952107,0.003166666666666667,-0.004398915539713654
A,20,35,2022-03-11,2022-01-12,8,raw_excess,609,609,True,609,0.038625471647825024,0.028666437993779742,0.009959033654045282,61,0.04569677444034053,0.039623348223583266,0.0026666666666666666,0.007292366987378616
A,20,36,2022-03-18,2022-01-20,9,raw_excess,609,609,True,609,0.025413822068770187,0.027318466083749895,-0.001904644014979709,58,-0.17806165711055477,-0.18117862136970464,0.002333333333333333,-0.004237977348313042
A,20,37,2022-03-25,2022-01-27,9,raw_excess,609,609,True,609,-0.012410453008350657,-0.005366332515375654,-0.007044120492975003,44,-0.27028837285412505,-0.2890580570986539,0.002166666666666666,-0.00921078715964167
A,20,38,2022-04-01,2022-02-03,9,raw_excess,609,609,True,609,-0.01790628085453505,-0.03908659039137814,0.021180309536843092,68,-0.16269195458969637,-0.25696750873661034,0.0014333333333333331,0.01974697620350976
A,20,39,2022-04-08,2022-02-10,9,raw_excess,609,609,True,609,-0.02175757740696091,-0.0782655434841845,0.056507966077223595,89,-0.1528231085061438,-0.2696224858042659,0.0011666666666666668,0.055341299410556925
A,20,40,2022-04-18,2022-02-17,10,raw_excess,609,609,True,609,-0.04117699979466097,-0.05073069925057369,0.009553699455912723,89,-0.17227958959014264,-0.23728573128695107,0.0013333333333333333,0.008220366122579389
A,20,41,2022-04-25,2022-02-25,10,raw_excess,609,609,True,609,0.010217406531737248,-0.007067947467217658,0.017285353998954908,94,-0.022507778065854286,-0.05517958618989531,0.001933333333333333,0.015352020665621576
A,20,42,2022-05-02,2022-03-04,10,raw_excess,609,609,True,609,-0.0010843584684129802,0.028970463245946942,-0.03005482171435992,43,-0.04746910025204333,-0.03258844893465999,0.0016666666666666666,-0.031721488381026584
A,20,43,2022-05-09,2022-03-11,10,raw_excess,609,609,True,609,0.021489668991459106,0.03820739024913664,-0.016717721257677537,79,0.25459075897771555,0.24737139626907853,0.0027666666666666673,-0.019484387924344204
A,20,44,2022-05-16,2022-03-18,11,raw_excess,609,609,True,609,-0.01236680898503448,-0.01193913686629423,-0.000427672118740249,66,-0.002426395270255911,0.027515917407991426,0.001933333333333333,-0.002361005452073582
A,20,45,2022-05-23,2022-03-25,11,raw_excess,609,609,True,609,-0.009213840297980542,-0.04684013860423897,0.037626298306258424,53,-0.0707962316758544,-0.1316826549131449,0.0013333333333333333,0.03629296497292509
A,20,46,2022-05-31,2022-04-01,11,raw_excess,609,609,True,609,0.0003433875808484957,-0.05171819858057278,0.05206158616142127,56,-0.14433534727151395,-0.24748216995286404,0.0026000000000000003,0.049461586161421274
A,20,47,2022-06-07,2022-04-08,11,raw_excess,609,609,True,609,0.003822096024837778,-0.051548860153846736,0.05537095617868451,52,-0.07538688439583978,-0.20674779090178808,0.0019999999999999996,0.05337095617868451
A,20,48,2022-06-14,2022-04-18,12,raw_excess,609,609,True,609,0.0022744935720228547,-0.008011266035003954,0.01028575960702681,61,-0.024928913578462827,-0.11434245591366769,0.0032666666666666677,0.0070190929403601415
A,20,49,2022-06-22,2022-04-25,12,raw_excess,609,609,True,609,0.03264781351007203,0.023837085270231328,0.008810728239840703,53,0.19990960389123252,0.14028437942675523,0.0019999999999999996,0.006810728239840703
A,20,50,2022-06-29,2022-05-02,12,raw_excess,609,609,True,609,0.019286151872987913,0.019864309242614488,-0.0005781573696265752,61,0.142396674983105,0.12857020660753066,0.0013333333333333333,-0.0019114907029599084
A,20,51,2022-07-07,2022-05-09,12,raw_excess,609,609,True,609,0.025292751546785237,0.016779289398409104,0.008513462148376134,71,0.19580659180455373,0.19751866948320485,0.001833333333333333,0.006680128815042801
A,20,52,2022-07-14,2022-05-16,13,raw_excess,609,609,True,609,0.0715118534601834,0.0736050736401552,-0.002093220179971794,66,0.34887839652834735,0.32252940151396003,0.0011666666666666668,-0.0032598868466384608
A,20,53,2022-07-21,2022-05-23,13,raw_excess,609,609,True,609,0.027887881517606357,0.035071243914016316,-0.007183362396409959,61,0.10329276767384825,0.02819660442797213,0.0019999999999999996,-0.00918336239640996
A,20,54,2022-07-28,2022-05-31,13,raw_excess,609,609,True,609,0.03278998071814064,0.055460591630971605,-0.022670610912830964,66,0.23424320056784123,0.13331610187141113,0.0015,-0.024170610912830966
A,20,55,2022-08-04,2022-06-07,13,raw_excess,609,609,True,609,0.021059676758816613,0.016783639023900405,0.004276037734916208,80,-0.06000650297309128,-0.1676664102313443,0.002266666666666667,0.002009371068249541
A,20,56,2022-08-11,2022-06-14,14,raw_excess,609,609,True,609,0.02369977402443321,-0.0004478004284477262,0.024147574452880936,97,-0.06274194885177896,-0.15676925496329855,0.0016666666666666666,0.02248090778621427
A,20,57,2022-08-18,2022-06-22,14,raw_excess,609,609,True,609,0.03075347221394778,0.012153381637582181,0.0186000905763656,106,-0.018084056240091465,-0.1210891842381533,0.001933333333333333,0.01666675724303227
A,20,58,2022-08-25,2022-06-29,14,raw_excess,609,609,True,609,0.005394547008155108,-8.748551777769571e-05,0.005482032525932804,77,-0.27342855442733455,-0.3493112905213854,0.001833333333333333,0.0036486991925994707
A,20,59,2022-09-01,2022-07-07,14,raw_excess,609,609,True,609,0.008874197217222799,-0.0034905166745175962,0.012364713891740396,45,0.03588530753112289,-0.1186977477611496,0.003933333333333334,0.008431380558407062
A,20,60,2022-09-09,2022-07-14,15,raw_excess,609,609,True,609,0.0006174736981591667,0.0005505348697461671,6.693882841299955e-05,48,0.03060737981188131,-0.10093246471180777,0.0032000000000000006,-0.003133061171587001
A,20,61,2022-09-16,2022-07-21,15,raw_excess,609,609,True,609,-0.00854997854054505,-0.01343724157516231,0.00488726303461726,47,-0.11443309375757085,-0.09374062275530542,0.0037000000000000006,0.0011872630346172592
A,20,62,2022-09-23,2022-07-28,15,raw_excess,609,609,True,609,0.0032219817518816998,-0.0005025149049231702,0.00372449665680487,81,0.02703584498272249,0.17499856552064158,0.0019999999999999996,0.0017244966568048703
A,20,63,2022-09-30,2022-08-04,15,raw_excess,609,609,True,609,0.008561813675467527,0.00344437736191443,0.005117436313553097,75,-0.007693856603067872,0.09782118524122628,0.002266666666666667,0.0028507696468864302
A,20,64,2022-10-07,2022-08-11,16,raw_excess,609,609,True,609,0.002845700823477141,-0.014367251006106264,0.017212951829583406,51,-0.10189218453142464,-0.029042681605086766,0.0024333333333333334,0.014779618496250074
A,20,65,2022-10-14,2022-08-18,16,raw_excess,609,609,True,609,-0.0013628470869629173,0.028277357838246364,-0.02964020492520928,62,0.21679897525044944,0.2131907815043544,0.002433333333333334,-0.032073538258542617
A,20,66,2022-10-21,2022-08-25,16,raw_excess,609,609,True,609,-0.0136573186567891,-0.01799947718063781,0.00434215852384871,58,0.08755057867959892,0.002769926512153759,0.0015999999999999999,0.00274215852384871
A,20,67,2022-10-28,2022-09-01,16,raw_excess,609,609,True,609,-0.03308433333230103,-0.03694223650221144,0.003857903169910415,71,-0.008950115302256957,-0.07068035855980875,0.002266666666666667,0.001591236503243748
A,20,68,2022-11-04,2022-09-09,17,raw_excess,609,609,True,609,-0.02778122627126556,-0.0019162833791195072,-0.025864942892146053,63,0.07586977265096034,-0.018963657731099932,0.0020999999999999994,-0.02796494289214605
A,20,69,2022-11-11,2022-09-16,17,raw_excess,609,609,True,609,-0.03272263158461705,-0.010970675010358524,-0.021751956574258526,80,-0.252591682524637,-0.29435917947726487,0.0025,-0.024251956574258524
A,20,70,2022-11-18,2022-09-23,17,raw_excess,609,609,True,609,-0.005631833399485999,0.007808572355265973,-0.013440405754751972,102,-0.17216876506427484,-0.23014107081946322,0.001933333333333333,-0.015373739088085304
A,20,71,2022-11-28,2022-09-30,17,raw_excess,609,609,True,609,-0.013189103412055989,0.0014891716618637392,-0.014678275073919729,75,-0.17355370177431417,-0.2015036558171811,0.0015,-0.01617827507391973
A,20,72,2022-12-05,2022-10-07,18,raw_excess,609,609,True,609,0.012834031991220875,0.007030971459926613,0.005803060531294263,59,-0.06126974799916693,-0.030154190592365585,0.0031000000000000008,0.002703060531294262
A,20,73,2022-12-12,2022-10-14,18,raw_excess,609,609,True,609,0.030006386562350884,0.020176214030066638,0.009830172532284246,26,0.17111224216561752,0.16088482937133675,0.0023666666666666667,0.00746350586561758
A,20,74,2022-12-19,2022-10-21,18,raw_excess,609,609,True,609,0.05748224816136746,0.04063768536887674,0.01684456279249072,59,0.33866389404829195,0.3514797451514597,0.002333333333333333,0.014511229459157386
A,20,75,2022-12-27,2022-10-28,18,raw_excess,609,609,True,609,0.06308877489509342,0.06346429350941239,-0.00037551861431897593,45,0.46343958397973445,0.4406265805837374,0.001833333333333333,-0.002208851947652309
A,20,76,2023-01-04,2022-11-04,19,raw_excess,609,609,True,609,0.09327066448141688,0.07457792082405065,0.01869274365736623,62,0.44160999587719996,0.4589929636131028,0.0027666666666666673,0.01592607699069956
A,20,77,2023-01-11,2022-11-11,19,raw_excess,609,609,True,609,0.044131530411458626,0.04602597330868002,-0.0018944428972213906,86,0.3154836108076862,0.2694419769038197,0.001833333333333333,-0.0037277762305547237
A,20,78,2023-01-19,2022-11-18,19,raw_excess,609,609,True,609,0.03732229106170946,0.04051782044564246,-0.003195529383933006,109,0.22623065347216595,0.22768863934851255,0.0020666666666666667,-0.005262196050599672
A,20,79,2023-01-26,2022-11-28,19,raw_excess,609,609,True,609,0.007484989680572623,0.004345812683896418,0.0031391769966762047,108,-0.008868349977743653,-0.00832255713906583,0.0015,0.0016391769966762047
A,20,80,2023-02-02,2022-12-05,20,raw_excess,609,609,True,609,-0.0068260018350976195,-0.023500712777153248,0.01667471094205563,88,-0.06715695754366129,-0.041381754272623326,0.002166666666666666,0.014508044275388965
A,20,81,2023-02-09,2022-12-12,20,raw_excess,609,609,True,609,-0.028039218662457264,-0.029663338907743832,0.0016241202452865686,66,-0.19502557351315647,-0.15266005601907537,0.0031000000000000003,-0.0014758797547134318
A,20,82,2023-02-16,2022-12-19,20,raw_excess,609,609,True,609,-0.029909559300355354,-0.040144839679952256,0.010235280379596902,48,-0.2519546109479464,-0.30057883898553617,0.002166666666666666,0.008068613712930236
A,20,83,2023-02-24,2022-12-27,20,raw_excess,609,609,True,609,-0.04337752057532232,-0.04553745024153766,0.0021599296662153378,42,-0.2036286483591681,-0.21418322870488823,0.0016666666666666666,0.0004932629995486712
A,20,84,2023-03-03,2023-01-04,21,raw_excess,609,609,True,609,-0.028392269855015806,-0.006440995373301591,-0.021951274481714217,71,-0.2289203789575691,-0.24833674774839867,0.001833333333333333,-0.02378460781504755
A,20,85,2023-03-10,2023-01-11,21,raw_excess,609,609,True,609,-0.004684345611377615,0.02322036124091611,-0.027904706852293723,68,-0.14279434453856518,-0.11164690981268885,0.002166666666666666,-0.03007137351896039
A,20,86,2023-03-17,2023-01-19,21,raw_excess,609,609,True,609,0.012216694378712836,0.021780951002988984,-0.009564256624276148,43,0.08758298728732514,-0.047625007539318115,0.0020999999999999994,-0.011664256624276148
A,20,87,2023-03-24,2023-01-26,21,raw_excess,609,609,True,609,0.00433715975815036,0.010156515857320962,-0.005819356099170602,125,0.0227920174942727,-0.03959476489414604,0.0017666666666666664,-0.007586022765837268
A,20,88,2023-03-31,2023-02-02,22,raw_excess,609,609,True,609,0.00604658883731056,-0.0016524750806282745,0.007699063917938834,75,-0.1461521950721915,-0.1474986930299179,0.0016666666666666666,0.006032397251272168
